permit_number;permit_type;filed_date;issued_date;completed_date;current_status;neighborhood;estimated_cost;days_to_issue;days_to_complete;year
201505065519;sign - erect;2015-05-06;2015-11-09;NULL;expired;Tenderloin;4000.0;187.0;NULL;2015
201604195146;sign - erect;2016-04-19;2017-08-03;NULL;issued;Tenderloin;1.0;471.0;NULL;2016
201605278609;additions alterations or repairs;2016-05-27;NULL;NULL;withdrawn;Russian Hill;20000.0;NULL;NULL;2016
201611072166;otc alterations permit;2016-11-07;2017-07-18;2017-07-24;complete;Nob Hill;2000.0;253.0;259.0;2016
201611283529;demolitions;2016-11-28;2017-12-01;NULL;issued;Tenderloin;100000.0;368.0;NULL;2016
201706149344;otc alterations permit;2017-06-14;2017-07-06;NULL;issued;Potrero Hill;4000.0;22.0;NULL;2017
201706300814;otc alterations permit;2017-06-30;2017-06-30;2017-07-12;complete;Inner Sunset;12000.0;0.0;12.0;2017
M803667;otc alterations permit;2017-06-30;2017-06-30;NULL;issued;Bayview Hunters Point;NULL;0.0;NULL;2017
M804227;otc alterations permit;2017-07-05;2017-07-05;NULL;issued;Lone Mountain/USF;NULL;0.0;NULL;2017
M804767;otc alterations permit;2017-07-06;2017-07-06;NULL;issued;Haight Ashbury;NULL;0.0;NULL;2017
M805287;otc alterations permit;2017-07-06;2017-07-06;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2017
M805907;otc alterations permit;2017-07-07;2017-07-07;NULL;issued;Hayes Valley;NULL;0.0;NULL;2017
M806447;otc alterations permit;2017-07-10;2017-07-10;NULL;issued;Noe Valley;NULL;0.0;NULL;2017
201707252846;otc alterations permit;2017-07-25;NULL;NULL;filed;Noe Valley;30000.0;NULL;NULL;2017
M813729;otc alterations permit;2017-07-26;2017-07-26;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
M813907;otc alterations permit;2017-07-27;2017-07-27;NULL;issued;Chinatown;NULL;0.0;NULL;2017
M813967;otc alterations permit;2017-07-27;2017-07-27;NULL;issued;Financial District/South Beach;NULL;0.0;NULL;2017
M814148;otc alterations permit;2017-07-27;2017-07-27;NULL;issued;Noe Valley;NULL;0.0;NULL;2017
201707283165;otc alterations permit;2017-07-28;NULL;NULL;filed;Marina;75000.0;NULL;NULL;2017
M814368;otc alterations permit;2017-07-28;2017-07-28;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2017
M814967;otc alterations permit;2017-07-31;2017-07-31;NULL;issued;Lone Mountain/USF;NULL;0.0;NULL;2017
201708013476;otc alterations permit;2017-08-01;NULL;NULL;filed;Mission;100000.0;NULL;NULL;2017
201708013544;additions alterations or repairs;2017-08-01;NULL;NULL;filed;Russian Hill;100000.0;NULL;NULL;2017
M816927;otc alterations permit;2017-08-07;2017-08-07;NULL;issued;Marina;NULL;0.0;NULL;2017
201708084249;otc alterations permit;2017-08-08;2017-08-08;NULL;issued;Marina;64650.0;0.0;NULL;2017
201708165014;otc alterations permit;2017-08-16;2017-08-16;NULL;issued;Sunset/Parkside;7000.0;0.0;NULL;2017
M820728;otc alterations permit;2017-08-18;2017-08-18;NULL;issued;Outer Richmond;NULL;0.0;NULL;2017
M821207;otc alterations permit;2017-08-21;2017-08-21;NULL;issued;Lone Mountain/USF;NULL;0.0;NULL;2017
M821268;otc alterations permit;2017-08-21;2017-08-21;NULL;issued;Inner Sunset;NULL;0.0;NULL;2017
M821847;otc alterations permit;2017-08-22;2017-08-22;NULL;issued;Tenderloin;NULL;0.0;NULL;2017
M822307;otc alterations permit;2017-08-23;2017-08-23;NULL;issued;Nob Hill;NULL;0.0;NULL;2017
M822487;otc alterations permit;2017-08-23;2017-08-23;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2017
M822707;otc alterations permit;2017-08-23;2017-08-23;NULL;issued;Mission;NULL;0.0;NULL;2017
201708245836;additions alterations or repairs;2017-08-24;NULL;NULL;approved;Financial District/South Beach;73000.0;NULL;NULL;2017
M823847;otc alterations permit;2017-08-25;2017-08-25;NULL;issued;Mission;NULL;0.0;NULL;2017
M824007;otc alterations permit;2017-08-25;2017-08-25;NULL;issued;Western Addition;NULL;0.0;NULL;2017
M824127;otc alterations permit;2017-08-28;2017-08-28;NULL;issued;Noe Valley;NULL;0.0;NULL;2017
M824927;otc alterations permit;2017-08-29;2017-08-29;NULL;issued;Bernal Heights;NULL;0.0;NULL;2017
M825267;otc alterations permit;2017-08-29;2017-08-29;NULL;issued;Outer Richmond;NULL;0.0;NULL;2017
M828787;otc alterations permit;2017-09-07;2017-09-07;NULL;issued;Chinatown;NULL;0.0;NULL;2017
M829567;otc alterations permit;2017-09-08;2017-09-08;NULL;issued;Marina;NULL;0.0;NULL;2017
M832207;otc alterations permit;2017-09-15;2017-09-15;NULL;issued;Outer Richmond;NULL;0.0;NULL;2017
201709158571;otc alterations permit;2017-09-15;NULL;NULL;filed;Inner Richmond;18000.0;NULL;NULL;2017
M833229;otc alterations permit;2017-09-19;2017-09-19;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
M834107;otc alterations permit;2017-09-21;2017-09-21;NULL;issued;Oceanview/Merced/Ingleside;NULL;0.0;NULL;2017
M836287;otc alterations permit;2017-09-27;2017-09-27;NULL;issued;Marina;NULL;0.0;NULL;2017
M836847;otc alterations permit;2017-09-28;2017-09-28;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
M839427;otc alterations permit;2017-10-04;2017-10-04;NULL;issued;Outer Mission;NULL;0.0;NULL;2017
201710110928;otc alterations permit;2017-10-11;2017-10-11;2017-10-31;complete;Portola;14000.0;0.0;20.0;2017
M842668;otc alterations permit;2017-10-11;2017-10-11;NULL;issued;Outer Richmond;NULL;0.0;NULL;2017
M842987;otc alterations permit;2017-10-11;2017-10-11;NULL;issued;Hayes Valley;NULL;0.0;NULL;2017
M843007;otc alterations permit;2017-10-12;2017-10-12;NULL;issued;Lone Mountain/USF;NULL;0.0;NULL;2017
M843807;otc alterations permit;2017-10-13;2017-10-13;NULL;reinstated;Russian Hill;NULL;0.0;NULL;2017
M845227;otc alterations permit;2017-10-17;2017-10-17;NULL;issued;Inner Richmond;NULL;0.0;NULL;2017
M845327;otc alterations permit;2017-10-17;2017-10-17;NULL;issued;Nob Hill;NULL;0.0;NULL;2017
201710242043;wall or painted sign;2017-10-24;NULL;NULL;filed;Mission Bay;1000.0;NULL;NULL;2017
M849547;otc alterations permit;2017-10-30;2017-10-30;NULL;issued;Visitacion Valley;NULL;0.0;NULL;2017
M851827;otc alterations permit;2017-11-03;2017-11-03;NULL;issued;Inner Sunset;NULL;0.0;NULL;2017
M853107;otc alterations permit;2017-11-07;2017-11-07;NULL;issued;Financial District/South Beach;NULL;0.0;NULL;2017
M853247;otc alterations permit;2017-11-07;2017-11-07;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
M854087;otc alterations permit;2017-11-09;2017-11-09;NULL;issued;Presidio Heights;NULL;0.0;NULL;2017
M854747;otc alterations permit;2017-11-13;2017-11-13;NULL;issued;Nob Hill;NULL;0.0;NULL;2017
M854907;otc alterations permit;2017-11-13;2017-11-13;NULL;issued;Mission;NULL;0.0;NULL;2017
M855127;otc alterations permit;2017-11-13;2017-11-13;NULL;issued;Haight Ashbury;NULL;0.0;NULL;2017
201711154040;additions alterations or repairs;2017-11-15;NULL;NULL;filed;Outer Mission;NULL;NULL;NULL;2017
M857329;otc alterations permit;2017-11-17;2017-11-17;NULL;issued;Mission;NULL;0.0;NULL;2017
M857707;otc alterations permit;2017-11-20;2017-11-20;NULL;issued;Bernal Heights;NULL;0.0;NULL;2017
M858789;otc alterations permit;2017-11-27;2017-11-27;NULL;issued;Marina;NULL;0.0;NULL;2017
201711274868;otc alterations permit;2017-11-27;2017-11-27;NULL;issued;Inner Sunset;6000.0;0.0;NULL;2017
M859867;otc alterations permit;2017-11-28;2017-11-28;NULL;issued;West of Twin Peaks;NULL;0.0;NULL;2017
M860867;otc alterations permit;2017-11-30;2017-11-30;NULL;issued;Russian Hill;NULL;0.0;NULL;2017
M861547;otc alterations permit;2017-12-01;2017-12-01;NULL;issued;Financial District/South Beach;NULL;0.0;NULL;2017
M863107;otc alterations permit;2017-12-05;2017-12-05;NULL;issued;Outer Richmond;NULL;0.0;NULL;2017
M863627;otc alterations permit;2017-12-06;2017-12-06;NULL;issued;Marina;NULL;0.0;NULL;2017
M863967;otc alterations permit;2017-12-07;2017-12-07;NULL;issued;South of Market;NULL;0.0;NULL;2017
M864087;otc alterations permit;2017-12-07;2017-12-07;NULL;issued;Lone Mountain/USF;NULL;0.0;NULL;2017
M864147;otc alterations permit;2017-12-07;2017-12-07;NULL;issued;Marina;NULL;0.0;NULL;2017
M864527;otc alterations permit;2017-12-08;2017-12-08;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
M864647;otc alterations permit;2017-12-08;2017-12-08;NULL;issued;Potrero Hill;NULL;0.0;NULL;2017
M859387;otc alterations permit;2017-11-28;2017-12-08;NULL;issued;Potrero Hill;NULL;10.0;NULL;2017
M865207;otc alterations permit;2017-12-11;2017-12-11;NULL;issued;Presidio Heights;NULL;0.0;NULL;2017
M867767;otc alterations permit;2017-12-18;2017-12-18;NULL;issued;Russian Hill;NULL;0.0;NULL;2017
201712196846;additions alterations or repairs;2017-12-19;NULL;NULL;filed;Castro/Upper Market;40000.0;NULL;NULL;2017
201712207002;new construction;2017-12-20;NULL;NULL;filed;Bayview Hunters Point;25000000.0;NULL;NULL;2017
M869807;otc alterations permit;2017-12-22;2017-12-22;NULL;issued;Marina;NULL;0.0;NULL;2017
M869987;otc alterations permit;2017-12-22;2017-12-22;NULL;issued;Presidio Heights;NULL;0.0;NULL;2017
M870307;otc alterations permit;2017-12-26;2017-12-26;NULL;issued;Noe Valley;NULL;0.0;NULL;2017
M870527;otc alterations permit;2017-12-27;2017-12-27;NULL;issued;Marina;NULL;0.0;NULL;2017
M870607;otc alterations permit;2017-12-27;2017-12-27;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2017
201712287574;additions alterations or repairs;2017-12-28;NULL;NULL;filed;Outer Richmond;500000.0;NULL;NULL;2017
201303222819;wall or painted sign;2013-03-22;NULL;NULL;cancelled;Western Addition;1000.0;NULL;NULL;2013
201407080724;additions alterations or repairs;2014-07-08;2015-09-11;2017-09-08;complete;Portola;15000.0;430.0;1158.0;2014
201408254591;otc alterations permit;2014-08-25;2014-08-25;2017-10-04;complete;South of Market;500.0;0.0;1136.0;2014
201501206148;additions alterations or repairs;2015-01-20;NULL;NULL;cancelled;Haight Ashbury;35000.0;NULL;NULL;2015
201505196720;otc alterations permit;2015-05-19;2015-05-20;NULL;expired;West of Twin Peaks;50000.0;1.0;NULL;2015
201505297543;demolitions;2015-05-29;2017-07-19;NULL;issued;South of Market;20000.0;782.0;NULL;2015
201511303744;otc alterations permit;2015-11-30;NULL;NULL;withdrawn;Sunset/Parkside;20000.0;NULL;NULL;2015
201602058959;additions alterations or repairs;2016-02-05;2017-11-01;NULL;issued;Excelsior;1000.0;635.0;NULL;2016
201602179775;additions alterations or repairs;2016-02-17;2016-07-01;2017-10-13;complete;Bayview Hunters Point;17749.0;135.0;604.0;2016
201603162258;otc alterations permit;2016-03-16;2016-03-31;2017-10-10;complete;South of Market;7000000.0;15.0;573.0;2016
201603313579;additions alterations or repairs;2016-03-31;NULL;NULL;cancelled;Inner Sunset;25000.0;NULL;NULL;2016
201604064066;otc alterations permit;2016-04-06;2016-04-06;2017-09-28;complete;Outer Richmond;8200.0;0.0;540.0;2016
201606160145;additions alterations or repairs;2016-06-16;NULL;NULL;withdrawn;Nob Hill;25700.0;NULL;NULL;2016
201606240851;otc alterations permit;2016-06-24;NULL;NULL;withdrawn;Bernal Heights;10000.0;NULL;NULL;2016
201607273499;demolitions;2016-07-27;2017-09-14;2018-01-19;complete;Noe Valley;20000.0;414.0;541.0;2016
201609097214;otc alterations permit;2016-09-09;2016-09-09;2017-09-22;complete;West of Twin Peaks;9800.0;0.0;378.0;2016
201609147626;additions alterations or repairs;2016-09-14;NULL;NULL;appeal;Hayes Valley;40000.0;NULL;NULL;2016
201610079781;otc alterations permit;2016-10-07;2016-10-07;2017-10-03;complete;Bayview Hunters Point;6500.0;0.0;361.0;2016
201610170423;otc alterations permit;2016-10-17;2016-10-17;2017-08-22;complete;North Beach;10000.0;0.0;309.0;2016
201611233429;otc alterations permit;2016-11-23;2016-11-23;2017-09-14;complete;South of Market;6700.0;0.0;295.0;2016
201612144948;otc alterations permit;2016-12-14;2016-12-15;2017-07-21;complete;North Beach;20000.0;1.0;219.0;2016
201612225729;otc alterations permit;2016-12-22;2016-12-30;2017-12-04;complete;Mission Bay;1.0;8.0;347.0;2016
201612195261;otc alterations permit;2016-12-19;NULL;NULL;withdrawn;Inner Sunset;3000.0;NULL;NULL;2016
201702038599;otc alterations permit;2017-02-03;2017-02-03;2017-12-22;complete;Mission;18533.0;0.0;322.0;2017
201702088915;otc alterations permit;2017-02-08;2017-02-14;2017-09-20;complete;Mission;127180.0;6.0;224.0;2017
201702109136;sign - erect;2017-02-10;2017-10-17;NULL;issued;Financial District/South Beach;5000.0;249.0;NULL;2017
201709148239;otc alterations permit;2017-09-14;2017-09-19;NULL;issued;Portola;1500.0;5.0;NULL;2017
201703131325;otc alterations permit;2017-03-13;2017-03-13;2017-07-28;complete;Nob Hill;15000.0;0.0;137.0;2017
201703272394;wall or painted sign;2017-03-27;2017-11-13;NULL;issued;Chinatown;500.0;231.0;NULL;2017
201703282512;sign - erect;2017-03-28;NULL;NULL;withdrawn;Financial District/South Beach;4000.0;NULL;NULL;2017
201703302779;otc alterations permit;2017-03-30;2017-03-30;2017-08-30;complete;Tenderloin;16000.0;0.0;153.0;2017
201703161614;otc alterations permit;2017-03-16;2017-04-20;2017-08-11;complete;Glen Park;30000.0;35.0;148.0;2017
201704204433;otc alterations permit;2017-04-20;2017-04-20;2017-07-26;complete;Mission;25000.0;0.0;97.0;2017
201704275068;otc alterations permit;2017-04-27;2017-04-28;2017-07-03;complete;Financial District/South Beach;96000.0;1.0;67.0;2017
201705035571;sign - erect;2017-05-03;NULL;NULL;withdrawn;Financial District/South Beach;4000.0;NULL;NULL;2017
201705035616;otc alterations permit;2017-05-03;2017-05-03;NULL;cancelled;Mission;11950.0;0.0;NULL;2017
201705186910;otc alterations permit;2017-05-18;2017-05-18;2017-12-28;complete;Marina;22300.0;0.0;224.0;2017
201705187018;additions alterations or repairs;2017-05-18;2017-12-27;NULL;issued;Nob Hill;20000.0;223.0;NULL;2017
201705267739;sign - erect;2017-05-26;2017-07-12;2017-08-01;complete;Noe Valley;50.0;47.0;67.0;2017
201705267761;otc alterations permit;2017-05-26;2017-05-31;2017-10-16;complete;Castro/Upper Market;50000.0;5.0;143.0;2017
201705307876;otc alterations permit;2017-05-30;2017-06-01;2017-10-18;complete;Mission;178500.0;2.0;141.0;2017
201705318001;otc alterations permit;2017-05-31;2017-05-31;2017-10-13;complete;West of Twin Peaks;8000.0;0.0;135.0;2017
201706018107;otc alterations permit;2017-06-01;2017-06-02;2017-10-26;complete;Financial District/South Beach;100000.0;1.0;147.0;2017
201706018123;otc alterations permit;2017-06-01;2017-06-01;2017-08-29;complete;Castro/Upper Market;46600.0;0.0;89.0;2017
201706068551;otc alterations permit;2017-06-06;2017-12-19;NULL;issued;Western Addition;45000.0;196.0;NULL;2017
201706078648;otc alterations permit;2017-06-07;2017-06-08;2017-07-10;complete;Financial District/South Beach;1.0;1.0;33.0;2017
201706088787;demolitions;2017-06-08;NULL;NULL;approved;Mission;100000.0;NULL;NULL;2017
201706209810;otc alterations permit;2017-06-20;2017-06-20;2017-12-04;complete;Noe Valley;18000.0;0.0;167.0;2017
201706220049;otc alterations permit;2017-06-22;2017-06-22;2017-09-05;complete;Noe Valley;23000.0;0.0;75.0;2017
201706230228;otc alterations permit;2017-06-23;2017-06-23;2017-07-05;complete;Inner Sunset;8000.0;0.0;12.0;2017
201706270428;otc alterations permit;2017-06-27;2017-06-27;2017-09-19;complete;South of Market;4500.0;0.0;84.0;2017
201706270465;additions alterations or repairs;2017-06-27;NULL;NULL;approved;Russian Hill;30000.0;NULL;NULL;2017
201706270487;otc alterations permit;2017-06-27;2017-07-12;NULL;issued;Nob Hill;1.0;15.0;NULL;2017
201706290676;otc alterations permit;2017-06-29;2017-07-17;NULL;issued;Mission Bay;800000.0;18.0;NULL;2017
M803330;otc alterations permit;2017-06-29;2017-07-03;NULL;issued;South of Market;NULL;4.0;NULL;2017
201706300882;otc alterations permit;2017-06-30;2017-06-30;NULL;issued;Noe Valley;9800.0;0.0;NULL;2017
M803987;otc alterations permit;2017-07-03;2017-07-03;NULL;issued;Hayes Valley;NULL;0.0;NULL;2017
M804247;otc alterations permit;2017-07-05;2017-07-05;NULL;issued;Western Addition;NULL;0.0;NULL;2017
M804727;otc alterations permit;2017-07-06;2017-07-06;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
201707061081;additions alterations or repairs;2017-07-06;NULL;NULL;filed;Nob Hill;62000.0;NULL;NULL;2017
M805007;otc alterations permit;2017-07-06;2017-07-06;NULL;issued;Mission Bay;NULL;0.0;NULL;2017
M732987;otc alterations permit;2016-10-25;2017-07-07;NULL;issued;Mission;NULL;255.0;NULL;2016
201705085934;grade or quarry or fill or excavate;2017-05-08;NULL;NULL;approved;Treasure Island;250000.0;NULL;NULL;2017
M806147;otc alterations permit;2017-07-07;2017-07-07;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2017
201707111466;otc alterations permit;2017-07-11;2017-07-11;2017-07-20;complete;Twin Peaks;18000.0;0.0;9.0;2017
M807507;otc alterations permit;2017-07-11;2017-07-11;NULL;issued;Russian Hill;NULL;0.0;NULL;2017
M807707;otc alterations permit;2017-07-12;2017-07-12;NULL;issued;Mission;NULL;0.0;NULL;2017
M807947;otc alterations permit;2017-07-12;2017-07-12;NULL;issued;Hayes Valley;NULL;0.0;NULL;2017
M808147;otc alterations permit;2017-07-12;2017-07-12;NULL;issued;Haight Ashbury;NULL;0.0;NULL;2017
M808527;otc alterations permit;2017-07-13;2017-07-13;NULL;issued;Glen Park;NULL;0.0;NULL;2017
M808587;otc alterations permit;2017-07-13;2017-07-13;NULL;issued;Nob Hill;NULL;0.0;NULL;2017
M808687;otc alterations permit;2017-07-13;2017-07-13;NULL;issued;Mission;NULL;0.0;NULL;2017
M808887;otc alterations permit;2017-07-13;2017-07-13;NULL;issued;Mission;NULL;0.0;NULL;2017
M809067;otc alterations permit;2017-07-14;2017-07-14;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2017
201707141931;new construction wood frame;2017-07-14;NULL;NULL;filed;Lone Mountain/USF;1620000.0;NULL;NULL;2017
201707141970;new construction wood frame;2017-07-14;NULL;NULL;filed;Bayview Hunters Point;400000.0;NULL;NULL;2017
201707171993;otc alterations permit;2017-07-17;2017-07-17;NULL;issued;Lone Mountain/USF;2500.0;0.0;NULL;2017
M809507;otc alterations permit;2017-07-17;2017-07-17;NULL;issued;North Beach;NULL;0.0;NULL;2017
M810047;otc alterations permit;2017-07-18;2017-07-18;NULL;issued;West of Twin Peaks;NULL;0.0;NULL;2017
M810369;otc alterations permit;2017-07-18;2017-07-18;NULL;issued;Sunset/Parkside;NULL;0.0;NULL;2017
M811030;otc alterations permit;2017-07-19;2017-07-19;NULL;issued;Outer Richmond;NULL;0.0;NULL;2017
M811327;otc alterations permit;2017-07-20;2017-07-20;NULL;issued;Marina;NULL;0.0;NULL;2017
M811227;otc alterations permit;2017-07-19;2017-07-20;NULL;issued;Castro/Upper Market;NULL;1.0;NULL;2017
M812167;otc alterations permit;2017-07-21;2017-07-21;NULL;issued;South of Market;NULL;0.0;NULL;2017
M812327;otc alterations permit;2017-07-21;2017-07-21;NULL;issued;Potrero Hill;NULL;0.0;NULL;2017
M812487;otc alterations permit;2017-07-21;2017-07-21;NULL;issued;Mission;NULL;0.0;NULL;2017
201707242729;new construction;2017-07-24;NULL;NULL;filed;Mission Bay;100000.0;NULL;NULL;2017
M812989;otc alterations permit;2017-07-24;2017-07-24;NULL;issued;Bayview Hunters Point;NULL;0.0;NULL;2017
M813147;otc alterations permit;2017-07-25;2017-07-25;NULL;issued;Outer Richmond;NULL;0.0;NULL;2017
M813548;otc alterations permit;2017-07-26;2017-07-26;NULL;issued;Outer Mission;NULL;0.0;NULL;2017
M813589;otc alterations permit;2017-07-26;2017-07-26;NULL;issued;Inner Richmond;NULL;0.0;NULL;2017
201707273068;otc alterations permit;2017-07-27;2017-07-27;NULL;issued;Inner Richmond;16000.0;0.0;NULL;2017
M814107;otc alterations permit;2017-07-27;2017-07-27;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
M814168;otc alterations permit;2017-07-27;2017-07-27;NULL;issued;Marina;NULL;0.0;NULL;2017
M814249;otc alterations permit;2017-07-27;2017-07-27;NULL;issued;Inner Sunset;NULL;0.0;NULL;2017
M814307;otc alterations permit;2017-07-27;2017-07-27;NULL;issued;Noe Valley;NULL;0.0;NULL;2017
M814388;otc alterations permit;2017-07-28;2017-07-28;NULL;issued;Twin Peaks;NULL;0.0;NULL;2017
M814747;otc alterations permit;2017-07-31;2017-07-31;NULL;issued;Mission;NULL;0.0;NULL;2017
M814887;otc alterations permit;2017-07-31;2017-07-31;NULL;issued;Western Addition;NULL;0.0;NULL;2017
M815348;otc alterations permit;2017-08-01;2017-08-01;NULL;issued;Chinatown;NULL;0.0;NULL;2017
M815408;otc alterations permit;2017-08-01;2017-08-01;NULL;issued;Mission;NULL;0.0;NULL;2017
M815467;otc alterations permit;2017-08-01;2017-08-01;NULL;issued;Twin Peaks;NULL;0.0;NULL;2017
M815471;otc alterations permit;2017-08-01;2017-08-01;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2017
201708023634;new construction;2017-08-02;2018-02-12;NULL;issued;Lone Mountain/USF;1500000.0;194.0;NULL;2017
201708033731;otc alterations permit;2017-08-03;NULL;NULL;filed;Lone Mountain/USF;40000.0;NULL;NULL;2017
M815907;otc alterations permit;2017-08-03;2017-08-03;NULL;issued;Presidio Heights;NULL;0.0;NULL;2017
M815988;otc alterations permit;2017-08-03;2017-08-03;NULL;issued;Haight Ashbury;NULL;0.0;NULL;2017
M816208;otc alterations permit;2017-08-03;2017-08-03;NULL;issued;Financial District/South Beach;NULL;0.0;NULL;2017
201708033844;otc alterations permit;2017-08-03;2017-08-03;NULL;issued;Portola;5800.0;0.0;NULL;2017
M816428;otc alterations permit;2017-08-04;2017-08-04;NULL;issued;South of Market;NULL;0.0;NULL;2017
M816647;otc alterations permit;2017-08-04;2017-08-04;NULL;issued;Hayes Valley;NULL;0.0;NULL;2017
M816689;otc alterations permit;2017-08-07;2017-08-07;NULL;issued;Inner Richmond;NULL;0.0;NULL;2017
M816788;otc alterations permit;2017-08-07;2017-08-07;NULL;issued;Marina;NULL;0.0;NULL;2017
M816947;otc alterations permit;2017-08-07;2017-08-07;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2017
M817128;otc alterations permit;2017-08-08;2017-08-08;NULL;issued;Nob Hill;NULL;0.0;NULL;2017
201708084155;demolitions;2017-08-08;NULL;NULL;approved;South of Market;45000.0;NULL;NULL;2017
201708094284;otc alterations permit;2017-08-09;2017-08-09;NULL;issued;Nob Hill;15000.0;0.0;NULL;2017
M818028;otc alterations permit;2017-08-10;2017-08-10;NULL;issued;Haight Ashbury;NULL;0.0;NULL;2017
M818208;otc alterations permit;2017-08-10;2017-08-10;NULL;issued;Russian Hill;NULL;0.0;NULL;2017
201708104500;otc alterations permit;2017-08-10;2017-08-11;NULL;issued;Marina;25000.0;1.0;NULL;2017
M818327;otc alterations permit;2017-08-10;2017-08-24;NULL;issued;North Beach;NULL;14.0;NULL;2017
M818368;otc alterations permit;2017-08-11;2017-08-11;NULL;issued;Bayview Hunters Point;NULL;0.0;NULL;2017
201708114578;otc alterations permit;2017-08-11;2017-08-14;2017-11-17;complete;South of Market;60000.0;3.0;98.0;2017
M818747;otc alterations permit;2017-08-14;2017-08-14;NULL;issued;Outer Mission;NULL;0.0;NULL;2017
M819167;otc alterations permit;2017-08-15;2017-08-15;NULL;issued;Financial District/South Beach;NULL;0.0;NULL;2017
M819208;otc alterations permit;2017-08-15;2017-08-15;NULL;issued;Outer Richmond;NULL;0.0;NULL;2017
M819227;otc alterations permit;2017-08-15;2017-08-15;NULL;issued;Noe Valley;NULL;0.0;NULL;2017
M819807;otc alterations permit;2017-08-16;2017-08-16;NULL;issued;Chinatown;NULL;0.0;NULL;2017
M820307;otc alterations permit;2017-08-17;2017-08-17;NULL;issued;Marina;NULL;0.0;NULL;2017
201708185223;otc alterations permit;2017-08-18;2017-08-18;NULL;issued;Bayview Hunters Point;3000.0;0.0;NULL;2017
M820787;otc alterations permit;2017-08-18;2017-08-18;NULL;issued;Mission;NULL;0.0;NULL;2017
M820931;otc alterations permit;2017-08-18;2017-08-18;NULL;issued;Financial District/South Beach;NULL;0.0;NULL;2017
M821027;otc alterations permit;2017-08-21;2017-08-21;NULL;issued;Potrero Hill;NULL;0.0;NULL;2017
M821087;otc alterations permit;2017-08-21;2017-08-21;NULL;issued;Bernal Heights;NULL;0.0;NULL;2017
M821247;otc alterations permit;2017-08-21;2017-08-21;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2017
201708215448;additions alterations or repairs;2017-08-21;2018-01-08;2018-02-06;complete;Tenderloin;7500.0;140.0;169.0;2017
201708235613;otc alterations permit;2017-08-23;2018-01-25;NULL;issued;Haight Ashbury;30000.0;155.0;NULL;2017
201708235623;otc alterations permit;2017-08-23;2017-08-23;2017-09-25;complete;Outer Richmond;4500.0;0.0;33.0;2017
M822127;otc alterations permit;2017-08-23;2017-08-23;NULL;issued;Bernal Heights;NULL;0.0;NULL;2017
M822407;otc alterations permit;2017-08-23;2017-08-23;NULL;issued;Noe Valley;NULL;0.0;NULL;2017
M822588;otc alterations permit;2017-08-23;2017-08-23;NULL;issued;Nob Hill;NULL;0.0;NULL;2017
M822907;otc alterations permit;2017-08-24;2017-08-24;NULL;issued;Haight Ashbury;NULL;0.0;NULL;2017
M823050;otc alterations permit;2017-08-24;2017-08-24;NULL;issued;Mission;NULL;0.0;NULL;2017
201708245818;additions alterations or repairs;2017-08-24;NULL;NULL;filed;Outer Richmond;90000.0;NULL;NULL;2017
201708245826;otc alterations permit;2017-08-24;2017-08-24;NULL;issued;Sunset/Parkside;10000.0;0.0;NULL;2017
M823327;otc alterations permit;2017-08-24;2017-08-24;NULL;issued;Bernal Heights;NULL;0.0;NULL;2017
201708255885;otc alterations permit;2017-08-25;NULL;NULL;filed;Mission;NULL;NULL;NULL;2017
M823567;otc alterations permit;2017-08-25;2017-08-25;NULL;issued;Hayes Valley;NULL;0.0;NULL;2017
M823787;otc alterations permit;2017-08-25;2017-08-25;NULL;issued;Lone Mountain/USF;NULL;0.0;NULL;2017
M824087;otc alterations permit;2017-08-28;2017-08-28;NULL;issued;Bernal Heights;NULL;0.0;NULL;2017
M824167;otc alterations permit;2017-08-28;2017-08-28;NULL;issued;Potrero Hill;NULL;0.0;NULL;2017
M824427;otc alterations permit;2017-08-28;2017-08-28;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
M824887;otc alterations permit;2017-08-29;2017-08-29;NULL;issued;Hayes Valley;NULL;0.0;NULL;2017
M825087;otc alterations permit;2017-08-29;2017-08-29;NULL;issued;Outer Richmond;NULL;0.0;NULL;2017
M825167;otc alterations permit;2017-08-29;2017-08-29;NULL;issued;Nob Hill;NULL;0.0;NULL;2017
201708296320;otc alterations permit;2017-08-29;NULL;NULL;filed;Hayes Valley;70000.0;NULL;NULL;2017
M825327;otc alterations permit;2017-08-29;2017-08-29;NULL;issued;Noe Valley;NULL;0.0;NULL;2017
